model,val_acc,method,seed,distance,ece,mce,ace,piece,Confbin,Knnbin,Proximity_bin,Conf_normalize
beit_large_patch16_384,0.8838,histogram_binning_kde,2021,IVFFlat,0.051883809,0.039279292,0.052118578,0.059002354,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2021,IVFPQ,0.051275411,0.035639222,0.059789836,0.06040104,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2021,L2,0.052210803,0.039559293,0.055163908,0.059228217,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2021,cosine,0.027253829,0.013139691,0.02648843,0.032828315,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2021,IVFFlat,0.027253829,0.013139691,0.02648843,0.032930459,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2021,IVFPQ,0.027253829,0.013139691,0.02648843,0.03149897,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2021,L2,0.027253829,0.013139691,0.02648843,0.032919173,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2021,cosine,0.004477332,0.001143615,0.004960387,0.017367833,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2021,IVFFlat,0.004477332,0.001143615,0.004960387,0.017056645,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2021,IVFPQ,0.004477332,0.001143615,0.004960387,0.01712989,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2021,L2,0.004477332,0.001143615,0.004960387,0.017148141,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2021,cosine,0.004910346,0.000980693,0.005089132,0.013565641,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2021,IVFFlat,0.005314692,0.000964481,0.004986982,0.013500683,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2021,IVFPQ,0.005323688,0.001366691,0.004551946,0.014883404,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2021,L2,0.005223949,0.000956422,0.004765062,0.013438869,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts,2021,cosine,0.007843688,0.002983339,0.007443027,0.017269744,15,10,5,FALSE
